                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95053,                 1.3178,                  1.428,                 0.9875,                0.98722,                0.99026,                0.57104,                 1.2515,                 1.4656,                 2.1947,             0.00066032,             0.00066032,             0.00066032
                      2,                0.90383,                0.87262,                 1.3784,                0.97453,                0.95649,                0.98217,                0.67901,                 1.0886,                0.82646,                 1.7066,              0.0013138,              0.0013138,              0.0013138
                      3,                0.92975,                 0.7437,                 1.3833,                  0.812,                0.89083,                0.89193,                0.50432,                  1.221,                 1.3589,                 2.1421,              0.0019542,              0.0019542,              0.0019542
                      4,                0.91214,                0.65582,                 1.3633,                0.89664,                0.95625,                 0.9711,                0.69701,                 1.0084,                0.81542,                 1.7595,              0.0019406,              0.0019406,              0.0019406
                      5,                0.88152,                0.62067,                 1.3487,                0.98745,                 0.9875,                0.99475,                0.76578,                0.83591,                0.59607,                 1.5214,              0.0019208,              0.0019208,              0.0019208
                      6,                0.82402,                0.54604,                 1.2907,                0.99311,                      1,                  0.995,                0.86354,                0.56917,                0.40104,                 1.2096,               0.001901,               0.001901,               0.001901
                      7,                0.80709,                0.51553,                 1.2847,                0.98494,                      1,                0.99217,                0.84877,                 0.6198,                0.42711,                 1.2602,              0.0018812,              0.0018812,              0.0018812
                      8,                0.77818,                0.49482,                 1.2713,                0.98211,                      1,                0.99115,                0.85364,                0.62509,                 0.4023,                 1.2651,              0.0018614,              0.0018614,              0.0018614
                      9,                0.76087,                0.47647,                 1.2548,                0.99915,                      1,                  0.995,                0.84595,                0.60941,                  0.387,                 1.2596,              0.0018416,              0.0018416,              0.0018416
                     10,                0.75913,                 0.4737,                 1.2615,                0.99889,                      1,                  0.995,                  0.885,                0.54312,                0.35471,                 1.1777,              0.0018218,              0.0018218,              0.0018218
                     11,                0.75925,                0.45668,                 1.2495,                0.99302,                      1,                0.99264,                0.87304,                0.54318,                0.39304,                 1.1625,               0.001802,               0.001802,               0.001802
                     12,                0.75228,                0.45214,                 1.2437,                0.99199,                      1,                  0.995,                0.86872,                0.55161,                 0.3646,                 1.1739,              0.0017822,              0.0017822,              0.0017822
                     13,                0.73347,                0.44444,                 1.2307,                0.99801,                      1,                  0.995,                0.88827,                0.50042,                0.32071,                 1.1144,              0.0017624,              0.0017624,              0.0017624
                     14,                0.71663,                0.42849,                 1.2246,                 0.9993,                      1,                  0.995,                0.89481,                0.49286,                0.31518,                 1.1146,              0.0017426,              0.0017426,              0.0017426
                     15,                0.69024,                0.41472,                 1.2082,                 0.9923,                      1,                0.99494,                0.89147,                0.51523,                0.32667,                 1.1589,              0.0017228,              0.0017228,              0.0017228
                     16,                0.70216,                0.41317,                 1.2057,                0.98097,                      1,                0.99125,                0.89809,                0.48135,                0.32797,                 1.1014,               0.001703,               0.001703,               0.001703
                     17,                 0.6984,                 0.4182,                 1.2197,                0.99725,                      1,                  0.995,                0.86642,                0.55057,                0.38655,                 1.1923,              0.0016832,              0.0016832,              0.0016832
                     18,                 0.6913,                0.40265,                 1.2059,                0.99954,                      1,                  0.995,                0.86656,                0.57007,                0.37856,                 1.1884,              0.0016634,              0.0016634,              0.0016634
                     19,                0.69887,                0.40515,                 1.2164,                0.99917,                      1,                  0.995,                0.90724,                0.44844,                0.29047,                 1.0614,              0.0016436,              0.0016436,              0.0016436
                     20,                 0.6812,                0.40117,                 1.2008,                0.98656,                      1,                0.99494,                0.89901,                0.47682,                0.31444,                 1.0808,              0.0016238,              0.0016238,              0.0016238
